Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
"<td>24 January 2021<br/>15:00<sup class=""reference"" id=""cite_ref-624""><a href=""#cite_note-624"">[612]</a></sup>
</td>",24 January 2021,15:00,F9 B5B1058.5,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
",Success
"<td>4 February 2021 <br/>06:19<sup class=""reference"" id=""cite_ref-635""><a href=""#cite_note-635"">[623]</a></sup>
</td>",4 February 2021,06:19,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>16 February 2021<br/>03:59:37<sup class=""reference"" id=""cite_ref-638""><a href=""#cite_note-638"">[626]</a></sup>
</td>",16 February 2021,03:59:37,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
"<td>4 March 2021<br/>08:24<sup class=""reference"" id=""cite_ref-645""><a href=""#cite_note-645"">[633]</a></sup>
</td>",4 March 2021,08:24,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>11 March 2021<br/>08:13:29<sup class=""reference"" id=""cite_ref-649""><a href=""#cite_note-649"">[637]</a></sup>
</td>",11 March 2021,08:13:29,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>14 March 2021<br/>10:01<sup class=""reference"" id=""cite_ref-652""><a href=""#cite_note-652"">[640]</a></sup>
</td>",14 March 2021,10:01,F9 B5 ♺,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>24 March 2021<br/>08:28<sup class=""reference"" id=""cite_ref-654""><a href=""#cite_note-654"">[642]</a></sup>
</td>",24 March 2021,08:28,F9 B5B1060.6,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>7 April 2021<br/>16:34
</td>",7 April 2021,16:34,F9 B5 ♺,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>23 April 2021<br/>9:49<sup class=""reference"" id=""cite_ref-658""><a href=""#cite_note-658"">[646]</a></sup>
</td>",23 April 2021,9:49,F9 B5B1061.2,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
",Success
"<td>29 April 2021<br/>03:44<sup class=""reference"" id=""cite_ref-663""><a href=""#cite_note-663"">[651]</a></sup>
</td>",29 April 2021,03:44,F9 B5B1060.7,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>4 May 2021<br/>19:01<sup class=""reference"" id=""cite_ref-666""><a href=""#cite_note-666"">[654]</a></sup>
</td>",4 May 2021,19:01,F9 B5B1049.9,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>9 May 2021<br/>06:42<sup class=""reference"" id=""cite_ref-668""><a href=""#cite_note-668"">[656]</a></sup>
</td>",9 May 2021,06:42,F9 B5B1051.10,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>15 May 2021<br/>22:56<sup class=""reference"" id=""cite_ref-671""><a href=""#cite_note-671"">[659]</a></sup>
</td>",15 May 2021,22:56,F9 B5B1058.8,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",Success
"<td>26 May 2021<br/>18:59<sup class=""reference"" id=""cite_ref-676""><a href=""#cite_note-676"">[664]</a></sup>
</td>",26 May 2021,18:59,F9 B5B1063.2,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>3 June 2021<br/>17:29<sup class=""reference"" id=""cite_ref-679""><a href=""#cite_note-679"">[667]</a></sup>
</td>",3 June 2021,17:29,F9 B5B1067.1,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",Success
"<td>6 June 2021<br/>04:26<sup class=""reference"" id=""cite_ref-685""><a href=""#cite_note-685"">[673]</a></sup>
</td>",6 June 2021,04:26,F9 B5,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",Success
