Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
"<td>8 April 2016,<br/>20:43<sup class=""reference"" id=""cite_ref-SFN_LLog_27-8""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>",8 April 2016,20:43,F9 FT,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,Success
"<td>6 May 2016,<br/>05:21<sup class=""reference"" id=""cite_ref-SFN_LLog_27-9""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>",6 May 2016,05:21,F9 FT,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",Success
"<td>27 May 2016,<br/>21:39<sup class=""reference"" id=""cite_ref-135""><a href=""#cite_note-135"">[128]</a></sup>
</td>",27 May 2016,21:39,F9 FT,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",Success
"<td>15 June 2016,<br/>14:29<sup class=""reference"" id=""cite_ref-SFN_LLog_27-10""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>",15 June 2016,14:29,F9 FT,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",Failure
"<td>18 July 2016,<br/>04:45<sup class=""reference"" id=""cite_ref-SFN_LLog_27-11""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>",18 July 2016,04:45,F9 FT,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",Success
"<td>14 August 2016,<br/>05:26
</td>",14 August 2016,05:26,F9 FT,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",Success
"<td>14 January 2017,<br/>17:54
</td>",14 January 2017,17:54,F9 FT,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
"<td>19 February 2017,<br/>14:39
</td>",19 February 2017,14:39,F9 FT,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",Success
"<td>16 March 2017,<br/>06:00
</td>",16 March 2017,06:00,F9 FT,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",No attempt
"<td>30 March 2017,<br/>22:27
</td>",30 March 2017,22:27,F9 FT♺,KSC,SES-10,"5,300 kg",GTO,SES,Success,Success
"<td>1 May 2017,<br/>11:15
</td>",1 May 2017,11:15,F9 FT,KSC,NROL-76,C,LEO,NRO,"Success
",Success
"<td>15 May 2017,<br/>23:21
</td>",15 May 2017,23:21,F9 FT,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",No attempt
"<td>3 June 2017,<br/>21:07
</td>",3 June 2017,21:07,F9 FT,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",Success
"<td>23 June 2017,<br/>19:10
</td>",23 June 2017,19:10,F9 FTB1029.2,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",Success
"<td>25 June 2017,<br/>20:25
</td>",25 June 2017,20:25,F9 FT,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",Success
"<td>5 July 2017,<br/>23:38
</td>",5 July 2017,23:38,F9 FT,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",No attempt
